SCT,SRT,SNOMED Fully Specified Name
78541007,L-80171,Milking Shorthorn cattle breed (organism)
78570003,C-B1067,Indium^111^ transferrin (substance)
78678003,L-8B100,Sus scrofa (organism)
78686003,C-B1017,Copper^64^ acetate (substance)
78869007,C-22955,Nuclear fast red stain (substance)
78904004,T-D3050,Chest wall structure (body structure)
78961009,T-C3000,Splenic structure (body structure)
78972004,T-11515,Structure of pedicle of vertebra (body structure)
78994007,L-80602,British landrace pig (organism)
79058000,L-80100,Bovine species (organism)
79068005,A-30360,"Needle, device (physical object)"
79142001,T-44010,Suprapulmonic valve area structure (body structure)
79163004,T-B6200,Structure of left lobe of thyroid gland (body structure)
79197006,C-159A2,^82^Rubidium (substance)
79283007,T-02143,Skin structure of tip of nose (body structure)
79295007,L-80726,Boston terrier (organism)
79313003,T-02202,Skin structure of helix (body structure)
79361005,T-15200,Structure of fontanel of skull (body structure)
79458005,G-A599,Ascending (qualifier value)
79477007,C-131A1,^66^Gallium (substance)
79502000,T-02211,Skin structure of tragus (body structure)
79523006,C-113A2,^76^Bromine (substance)
79601000,T-12280,Bone structure of scapula (body structure)
79603002,L-80343,Romedale sheep (organism)
79610008,C-B1216,Technetium Tc^99m^ serum albumin (substance)
79619009,D3-29011,Mitral valve stenosis (disorder)
79652003,T-AA770,Internal structure of eyeball (body structure)
79654002,M-36300,Edema (morphologic abnormality)
79692001,F-32340,Right to left cardiovascular shunt (finding)
79741001,T-64500,Common bile duct structure (body structure)
79811009,A-18041,"Electric blanket, device (physical object)"
79814001,L-80655,Poland China pig (organism)
79926007,T-C4650,Structure of sacral lymph node (body structure)
79951008,T-02109,Skin of occipital region (body structure)
80049006,T-A2750,Structure of forceps major (body structure)
80084005,L-80612,Lucie pig (organism)
80131009,L-80600,Landrace pig (organism)
80140008,T-54480,Structure of mandibular right first premolar tooth (body structure)
80144004,T-12770,Bone structure of calcaneum (body structure)
80243003,T-AA810,Eyelid structure (body structure)
80248007,T-04030,Left breast structure (body structure)
80272002,T-45160,Structure of carotid bifurcation (body structure)
80274001,F-70210,Glomerular filtration rate (observable entity)
80305003,C-22856,Pontamine sky blue 6BX stain (substance)
80313002,F-37150,Palpitations (finding)
80434005,T-A2870,Structure of vertical occipital fasciculus (body structure)
80447000,T-A1800,Structure of cerebral aqueduct (body structure)
80576000,L-80892,Sussex spaniel (organism)
80581009,T-D4001,Upper abdomen structure (body structure)
80621003,T-A1900,Structure of choroid plexus (body structure)
80622005,T-A8130,Abducens nerve structure (body structure)
80647007,T-54260,Structure of maxillary right canine tooth (body structure)
80751004,C-172A8,^133^Xenon (substance)
80769008,T-C4860,Structure of tibial lymph node (body structure)
80777007,L-80413,Andalusian horse (organism)
80835003,L-80170,Shorthorn cattle breed (organism)
80865008,P5-40030,Specimen mammography (procedure)
80867000,T-C4631,Structure of gluteal lymph node (body structure)
80891009,T-32000,Heart structure (body structure)
80917008,C-00224,Toxin (substance)
80919006,A-61000,Jewelry (physical object)
80943009,F-01500,Risk factor (observable entity)
80979001,L-80657,San Pierre pig (organism)
81016008,T-AA630,Optic disc structure (body structure)
81040000,T-44000,Pulmonary artery structure (body structure)
81105003,T-C4200,Cervical lymph node structure (body structure)
81128002,T-42200,Structure of sinus of Valsalva (body structure)
81132008,T-C4290,Structure of scalene lymph node (body structure)
81267004,L-80154,Normande cattle breed (organism)
81274009,M-73310,Apocrine metaplasia (morphologic abnormality)
81323004,F-00001,Normal general body function (finding)
81397005,C-22A01,Auramine O stain (substance)
81502006,T-55300,Hypopharyngeal structure (body structure)
81529001,L-80723,Bloodhound (organism)
81607005,L-807D2,Keeshond (organism)
81621007,C-B1066,Indium^111^ red cell label (substance)
81654009,G-A138,Coronal (qualifier value)
81669005,M-95401,Neurofibromatosis (morphologic abnormality)
81727001,T-13300,Skeletal muscle structure of neck (body structure)
81745001,T-AA000,Structure of eye proper (body structure)
81761004,C-B1203,Technetium Tc^99m^ microaggregated albumin (substance)
81827009,M-02550,Diameter (qualifier value)
81839001,C-A6500,Anticoagulant (product)
81866001,L-80A21,Maine coon cat (organism)
81911001,C-F3310,Chewing tobacco (substance)
81992007,T-02545,Skin structure of scrotum (body structure)
82078001,PA-20110,Collection of blood specimen for laboratory (procedure)
82206008,L-80885,Black cocker spaniel (organism)
82264009,C-677C0,Homatropine (product)
82280004,G-A545,Smooth (qualifier value)
82334004,G-A385,Indeterminate (qualifier value)
82365008,T-C4350,Structure of parasternal lymph node (body structure)
82440005,L-80327,Hampshire Down sheep (organism)
82449006,A-26836,"Peripheral intravenous catheter, device (physical object)"
82471001,T-32300,Left atrial structure (body structure)
82474009,T-12771,Calcaneal tubercle structure (body structure)
82561000,T-15690,Symphysis pubis structure (body structure)
82566005,C-F5000,Animal feed (substance)
82573000,C-80400,Lidocaine (product)
82628004,T-54460,Structure of mandibular right lateral incisor tooth (body structure)
82676003,L-88120,Wolf (organism)
82680008,T-D0310,Digit structure (body structure)
82682000,C-22895,Victoria blue 4R stain (substance)
82711006,M-85003,Infiltrating duct carcinoma (morphologic abnormality)
82799009,F-32100,Cardiac output (observable entity)
82849001,T-D4900,Retroperitoneal compartment structure (body structure)
82909008,L-80622,Middle white pig (organism)
83018002,T-47690,Plantar arterial arch structure (body structure)
83036002,F-61760,Lactate (substance)
83059008,A-26400,"Tube, device (physical object)"
83173002,L-80160,Scottish Highland cattle breed (organism)
83216009,L-80733,Staffordshire bull terrier (organism)
83236005,L-80895,Saint Bernard dog (organism)
83251001,T-A2200,Frontal lobe structure (body structure)
83323007,F-12100,"Bone formation, function (observable entity)"
83330001,D4-32012,Patent ductus arteriosus (disorder)
83380007,T-C4458,Structure of gastro-omental lymph node (body structure)
83419000,T-49410,Femoral vein structure (body structure)
83420006,S-10181,Natural daughter (person)
83422003,P1-30022,Diagnostic procedure on blood vessel (procedure)
83423008,C-B0342,Sodium diprotrizoate (substance)
83504004,L-80793,Finnish spitz dog (organism)
83555006,T-C6010,Structure of lymphatic vessel (body structure)
83578000,G-B102,Surgical (qualifier value)
83598005,C-17200,Xenon (substance)
83600004,C-22920,Spirit soluble eosin stain (substance)
83670000,T-D4425,Peritoneal cavity structure (body structure)
83799000,D4-31040,Corrected transposition of great vessels (disorder)
83881004,C-12013,Aluminum oxide (substance)
83996001,L-80119,Criollo cattle breed (organism)
84081007,L-80537,Boar power pig 747 (organism)
84114007,D3-16000,Heart failure (disorder)
84217005,C-22845,Titan yellow stain (substance)
84219008,T-C4610,Structure of iliac lymph node (body structure)
84229001,F-01360,Fatigue (finding)
84232003,L-80592,Kleen leen red pig (organism)
84301002,T-AB200,External auditory canal structure (body structure)
84315000,L-80532,Boar power pig 474 (organism)
84360004,M-02120,Ovoid shape (qualifier value)
84365009,T-02153,Skin structure of philtrum (body structure)
84367001,L-80871,English setter (organism)
84386009,C-6A16E,Tribromoethanol (substance)
84421000,T-487A0,Structure of abdominal vein (body structure)
84507004,T-02821,Skin structure of popliteal fossa (body structure)
84514002,L-80708,Akita dog (organism)
84528008,L-80603,Danish landrace pig (organism)
84548001,L-807D5,Kuvasz dog (organism)
84607009,T-02841,Skin structure of heel (body structure)
84640000,T-E0100,Nucleus (cell structure)
84654008,T-32833,Structure of left anterior division of left branch of atrioventricular bundle (body structure)
84656005,C-22A03,Atebrin FS stain (substance)
84660008,L-807D1,Karelian bear dog (organism)
84712000,T-32156,Structure of limbus of fossa ovalis (body structure)
84757009,DA-30000,Epilepsy (disorder)
84782009,T-A0500,Peripheral nerve structure (body structure)
84797007,L-80A43,Russian blue cat (organism)
84812008,C-A6540,Heparin (product)
84839000,L-80135,Guernsey cattle breed (organism)
84847000,C-15300,Platinum (substance)
84923006,L-80105,Aberdeen Angus cattle breed (organism)
85050009,T-12410,Bone structure of humerus (body structure)
85066006,C-22873,Azo black stain (substance)
85119005,T-D7020,Left inguinal region structure (body structure)
85144002,L-80719,Belgian sheepdog (organism)
85190005,C-22848,Bismark brown Y stain (substance)
85234005,T-45700,Structure of vertebral artery (body structure)
85235006,T-46120,Structure of left subclavian artery (body structure)
85272000,C-80430,Nifedipine (product)
85284003,D3-12003,"Angina, class III (disorder)"
85293002,T-1A007,Interstitial tissue (body structure)
85315007,L-80662,Yorkshire pig (organism)
85380009,T-C4843,Structure of inferior inguinal lymph node (body structure)
85383006,T-46640,Accessory renal artery (body structure)
85431000,M-32350,Fusiform aneurysm (morphologic abnormality)
85439003,T-48400,Structure of cardiac vein (body structure)
85562004,T-D8700,Hand structure (body structure)
85596006,C-22A05,Fluorescein stain (substance)
85598007,D3-91030,Constrictive pericarditis (disorder)
85606007,P5-D3300,Radionuclide cardiac ventriculography (procedure)
85637007,T-A3700,Internal capsule structure of brain (body structure)
85659009,M-32200,Aneurysm (morphologic abnormality)
85693008,C-B1200,Technetium Tc^99m^ aggregated albumin (substance)
85710004,T-12350,Bone structure of ischium (body structure)
85726003,M-32240,Mixed aneurysm (morphologic abnormality)
85756007,T-D0050,Body tissue structure (body structure)
85803001,T-01530,Structure of eyelash (body structure)
85816001,T-51600,Structure of retromolar area of mouth (body structure)
85856004,T-15420,Acromioclavicular joint structure (body structure)
85898001,D3-20000,Cardiomyopathy (disorder)
85981002,C-22838,Chromotrope 2R stain (substance)
86049000,M-80003,"Malignant neoplasm, primary (morphologic abnormality)"
86117002,T-45300,Internal carotid artery structure (body structure)
86122002,A-32110,"Bullet, device (physical object)"
86136007,T-A5272,Lateral lemniscus structure (body structure)
86273004,P1-03100,Biopsy (procedure)
86290005,F-21000,Respiratory rate (observable entity)
86299006,D4-31110,Tetralogy of Fallot (disorder)
86308005,C-68000,Sympathomimetic agent (product)
86367003,T-D4130,Structure of left upper quadrant of abdomen (body structure)
86407004,A-17350,"Table, device (physical object)"
86409001,T-02219,Skin of external auditory canal (body structure)
86440008,L-80652,Pic line pig 24 (organism)
86521004,C-113A3,^77^Bromine (substance)
86541009,C-22869,Brilliant crocein stain (substance)
86547008,T-47740,Structure of dorsalis pedis artery (body structure)
86570000,T-46500,Structure of mesenteric artery (body structure)
86584005,C-B0323,Iodoalphionic acid (substance)
86593006,L-80732,Colored bull terrier (organism)
86598002,T-280A0,Structure of apex of lung (body structure)
86616005,M-85002,"Intraductal carcinoma, noninfiltrating, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
86694007,L-80582,Hormel miniature pig (organism)
86719006,T-02114,Skin structure of preauricular region (body structure)
86750008,C-22823,Nitrazine yellow stain (substance)
86767001,L-80822,German shorthaired pointer (organism)
86920006,L-80321,Horned dorset sheep breed (organism)
86969008,T-80010,Female external genitalia structure (body structure)
87017008,G-A351,Focal (qualifier value)
87029004,L-80810,Old English sheepdog (organism)
87061000,L-80528,Boar power pig 282 (organism)
87068006,F-10390,Stooped-over position (finding)
87111007,L-80737,Cairn terrier (organism)
87166008,T-21342,Vomer bone structure (body structure)
87219003,L-80897,Tibetan spaniel (organism)
87342007,T-12750,Bone structure of fibula (body structure)
87343002,D3-12400,Prinzmetal angina (disorder)
87386002,D7-90560,Peau d'orange surface of breast (disorder)
87410002,C-B1225,Technetium Tc^99^ N-substituted iminodiacetate (substance)
87437000,C-116A2,^73^Selenium (substance)
87445005,C-B0335,Ipodate (substance)
87463005,T-A2970,Cerebral fornix structure (body structure)
87483006,T-40200,Tunica intima of vessel (body structure)
87563008,T-A0102,Structure of diencephalon (body structure)
87612001,T-C2000,Blood (substance)
87644002,T-95000,Epididymis structure (body structure)
87687004,G-A151,Extra-articular (qualifier value)
87704003,T-54360,Structure of maxillary left third molar tooth (body structure)
87706001,T-02512,Skin structure of cruro-vulvar fold (body structure)
87708000,F-BB000,Vitamin (substance)
87731000,F-12300,Weight bearing function of bone (observable entity)
87737001,M-84903,Signet ring cell carcinoma (morphologic abnormality)
87759004,T-80020,Female internal genitalia structure (body structure)
87784001,T-1A000,Soft tissues (body structure)
87853006,C-B1210,Technetium Tc^99m^ iron ascorbate (substance)
